event,owner,liquidated,first_liq,block_label,block_time,health_factor
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h102,2022-05-13T06:00:00Z,1.0356
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h108,2022-05-13T12:00:00Z,1.0243
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h114,2022-05-13T18:00:00Z,1.0079
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h00,2022-05-09T00:00:00Z,1.2099
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h06,2022-05-09T06:00:00Z,1.1814
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h12,2022-05-09T12:00:00Z,1.1517
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h18,2022-05-09T18:00:00Z,1.1127
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h24,2022-05-10T00:00:00Z,1.0793
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h30,2022-05-10T06:00:00Z,1.1437
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h36,2022-05-10T12:00:00Z,1.1448
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h42,2022-05-10T18:00:00Z,1.1435
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h48,2022-05-11T00:00:00Z,1.1196
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h54,2022-05-11T06:00:00Z,1.1477
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h60,2022-05-11T12:00:00Z,1.1607
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h66,2022-05-11T18:00:00Z,1.0468
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h72,2022-05-12T00:00:00Z,1.0911
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h78,2022-05-12T06:00:00Z,1.0323
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h84,2022-05-12T12:00:00Z,1.2166
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h90,2022-05-12T18:00:00Z,1.2224
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h96,2022-05-13T00:00:00Z,1.2373
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h102,2022-05-13T06:00:00Z,1.3328
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h108,2022-05-13T12:00:00Z,1.3218
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h114,2022-05-13T18:00:00Z,1.2955
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h00,2022-05-09T00:00:00Z,1.0447
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h06,2022-05-09T06:00:00Z,1.0215
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h12,2022-05-09T12:00:00Z,1.0194
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h18,2022-05-09T18:00:00Z,1.0195
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h24,2022-05-10T00:00:00Z,1.0077
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h30,2022-05-10T06:00:00Z,1.0645
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h36,2022-05-10T12:00:00Z,1.0706
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h42,2022-05-10T18:00:00Z,1.0671
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h48,2022-05-11T00:00:00Z,1.0359
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h54,2022-05-11T06:00:00Z,1.0723
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h60,2022-05-11T12:00:00Z,1.0603
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h66,2022-05-11T18:00:00Z,1.0277
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h72,2022-05-12T00:00:00Z,1.0326
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h78,2022-05-12T06:00:00Z,0.9732
ust,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-05-08T17:10:21.000Z,h84,2022-05-12T12:00:00Z,1.0557
