event,owner,liquidated,first_liq,block_label,block_time,health_factor
ftx,0x52957c5b987b9f43d826ec6cccc1f4a8e75e81c6,true,2022-11-09T21:46:11.000Z,d1,2022-11-09T12:00:00Z,1.0665
ftx,0x52957c5b987b9f43d826ec6cccc1f4a8e75e81c6,true,2022-11-09T21:46:11.000Z,d2,2022-11-10T12:00:00Z,1.1258
ftx,0x52957c5b987b9f43d826ec6cccc1f4a8e75e81c6,true,2022-11-09T21:46:11.000Z,d3,2022-11-11T12:00:00Z,1.2142
ftx,0x61eccd16885460d355a470baf074c0ac93174c80,true,2022-11-09T09:56:35.000Z,d0,2022-11-08T12:00:00Z,1.1837
ftx,0x61eccd16885460d355a470baf074c0ac93174c80,true,2022-11-09T09:56:35.000Z,d1,2022-11-09T12:00:00Z,1.0523
ftx,0x61eccd16885460d355a470baf074c0ac93174c80,true,2022-11-09T09:56:35.000Z,d2,2022-11-10T12:00:00Z,1.0987
ftx,0x61eccd16885460d355a470baf074c0ac93174c80,true,2022-11-09T09:56:35.000Z,d3,2022-11-11T12:00:00Z,1.1804
ftx,0xd7bc8dabd0c0c9b45440299ef64af7f526278ccb,true,2022-11-08T18:21:59.000Z,d0,2022-11-08T12:00:00Z,1.0894
ftx,0xd7bc8dabd0c0c9b45440299ef64af7f526278ccb,true,2022-11-08T18:21:59.000Z,d1,2022-11-09T12:00:00Z,1.0666
ftx,0xd7bc8dabd0c0c9b45440299ef64af7f526278ccb,true,2022-11-08T18:21:59.000Z,d2,2022-11-10T12:00:00Z,1.2808
ftx,0xd7bc8dabd0c0c9b45440299ef64af7f526278ccb,true,2022-11-08T18:21:59.000Z,d3,2022-11-11T12:00:00Z,
ftx,0xc4691aa738d792f4f81a96fff65307536f88d8dd,true,2022-11-08T19:33:23.000Z,d0,2022-11-08T12:00:00Z,1.1267
ftx,0xc4691aa738d792f4f81a96fff65307536f88d8dd,true,2022-11-08T19:33:23.000Z,d1,2022-11-09T12:00:00Z,1.1088
ftx,0xc4691aa738d792f4f81a96fff65307536f88d8dd,true,2022-11-08T19:33:23.000Z,d2,2022-11-10T12:00:00Z,1.2322
ftx,0xc4691aa738d792f4f81a96fff65307536f88d8dd,true,2022-11-08T19:33:23.000Z,d3,2022-11-11T12:00:00Z,1.2902
ftx,0xe89064188ff33230ece16fadf6ca5539d26d3e1b,true,2022-11-09T18:20:35.000Z,d0,2022-11-08T12:00:00Z,1.1041
ftx,0xe89064188ff33230ece16fadf6ca5539d26d3e1b,true,2022-11-09T18:20:35.000Z,d1,2022-11-09T12:00:00Z,1.0405
ftx,0xe89064188ff33230ece16fadf6ca5539d26d3e1b,true,2022-11-09T18:20:35.000Z,d2,2022-11-10T12:00:00Z,1.1954
ftx,0xe89064188ff33230ece16fadf6ca5539d26d3e1b,true,2022-11-09T18:20:35.000Z,d3,2022-11-11T12:00:00Z,1.4913
ftx,0xa1f0aca0fade2e7c5fbc6694aa288478a05bbb18,true,2022-11-09T10:20:47.000Z,d0,2022-11-08T12:00:00Z,1.2045
ftx,0xa1f0aca0fade2e7c5fbc6694aa288478a05bbb18,true,2022-11-09T10:20:47.000Z,d1,2022-11-09T12:00:00Z,1.112
ftx,0xa1f0aca0fade2e7c5fbc6694aa288478a05bbb18,true,2022-11-09T10:20:47.000Z,d2,2022-11-10T12:00:00Z,1.2518
ftx,0xa1f0aca0fade2e7c5fbc6694aa288478a05bbb18,true,2022-11-09T10:20:47.000Z,d3,2022-11-11T12:00:00Z,1.3227
ftx,0xa9a55ae66c0148498a4e1141ddb5a11a9e451db4,true,2022-11-08T18:18:35.000Z,d0,2022-11-08T12:00:00Z,1.0477
ftx,0xa9a55ae66c0148498a4e1141ddb5a11a9e451db4,true,2022-11-08T18:18:35.000Z,d1,2022-11-09T12:00:00Z,1.1116
ftx,0xa9a55ae66c0148498a4e1141ddb5a11a9e451db4,true,2022-11-08T18:18:35.000Z,d2,2022-11-10T12:00:00Z,1.1807
ftx,0xa9a55ae66c0148498a4e1141ddb5a11a9e451db4,true,2022-11-08T18:18:35.000Z,d3,2022-11-11T12:00:00Z,1.2859
ftx,0xc564077664fdc85e98a94d762d48b21931841aea,true,2022-11-08T19:33:35.000Z,d0,2022-11-08T12:00:00Z,1.1874
ftx,0xc564077664fdc85e98a94d762d48b21931841aea,true,2022-11-08T19:33:35.000Z,d1,2022-11-09T12:00:00Z,1.1504
ftx,0xc564077664fdc85e98a94d762d48b21931841aea,true,2022-11-08T19:33:35.000Z,d2,2022-11-10T12:00:00Z,1.2138
ftx,0xc564077664fdc85e98a94d762d48b21931841aea,true,2022-11-08T19:33:35.000Z,d3,2022-11-11T12:00:00Z,1.241
ftx,0xeb95ff72eab9e8d8fdb545fe15587accf410b42e,true,2022-11-10T02:13:59.000Z,d0,2022-11-08T12:00:00Z,1.2926
ftx,0xeb95ff72eab9e8d8fdb545fe15587accf410b42e,true,2022-11-10T02:13:59.000Z,d1,2022-11-09T12:00:00Z,1.0539
ftx,0xeb95ff72eab9e8d8fdb545fe15587accf410b42e,true,2022-11-10T02:13:59.000Z,d2,2022-11-10T12:00:00Z,1.11
ftx,0xeb95ff72eab9e8d8fdb545fe15587accf410b42e,true,2022-11-10T02:13:59.000Z,d3,2022-11-11T12:00:00Z,1.209
ftx,0x72847c8bdc54b338e787352bcec33ba90cd7afe0,true,2022-11-08T18:20:59.000Z,d0,2022-11-08T12:00:00Z,1.0575
ftx,0x72847c8bdc54b338e787352bcec33ba90cd7afe0,true,2022-11-08T18:20:59.000Z,d1,2022-11-09T12:00:00Z,1.1137
ftx,0x72847c8bdc54b338e787352bcec33ba90cd7afe0,true,2022-11-08T18:20:59.000Z,d2,2022-11-10T12:00:00Z,1.0799
ftx,0x72847c8bdc54b338e787352bcec33ba90cd7afe0,true,2022-11-08T18:20:59.000Z,d3,2022-11-11T12:00:00Z,1.1762
ftx,0x3a4406e17619501d1a61d5fb4b597b3b504e7ab6,true,2022-11-09T10:16:59.000Z,d0,2022-11-08T12:00:00Z,1.2497
ftx,0x3a4406e17619501d1a61d5fb4b597b3b504e7ab6,true,2022-11-09T10:16:59.000Z,d1,2022-11-09T12:00:00Z,1.1112
ftx,0x3a4406e17619501d1a61d5fb4b597b3b504e7ab6,true,2022-11-09T10:16:59.000Z,d2,2022-11-10T12:00:00Z,1.1779
ftx,0x3a4406e17619501d1a61d5fb4b597b3b504e7ab6,true,2022-11-09T10:16:59.000Z,d3,2022-11-11T12:00:00Z,1.2829
ftx,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,true,2022-11-10T17:47:59.000Z,d0,2022-11-08T12:00:00Z,
ftx,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,true,2022-11-10T17:47:59.000Z,d1,2022-11-09T12:00:00Z,
ftx,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,true,2022-11-10T17:47:59.000Z,d2,2022-11-10T12:00:00Z,1.2128
ftx,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,true,2022-11-10T17:47:59.000Z,d3,2022-11-11T12:00:00Z,1.2082
ftx,0x81264ef9f9ffbbe7d7fda1d752f7e084abbe678d,true,2022-11-08T19:30:35.000Z,d0,2022-11-08T12:00:00Z,1.1335
ftx,0x81264ef9f9ffbbe7d7fda1d752f7e084abbe678d,true,2022-11-08T19:30:35.000Z,d1,2022-11-09T12:00:00Z,1.0763
ftx,0x81264ef9f9ffbbe7d7fda1d752f7e084abbe678d,true,2022-11-08T19:30:35.000Z,d2,2022-11-10T12:00:00Z,1.236
ftx,0x81264ef9f9ffbbe7d7fda1d752f7e084abbe678d,true,2022-11-08T19:30:35.000Z,d3,2022-11-11T12:00:00Z,1.346
ftx,0xb3288afb81b6d94886fb7ee985e5ca56bd4f6fee,true,2022-11-08T18:22:11.000Z,d0,2022-11-08T12:00:00Z,1.0685
