event,owner,liquidated,first_liq,block_label,block_time,health_factor
june,0xbce3e29641b2083716e023f0bb56635d3062c8c3,true,2022-06-15T09:28:25.000Z,d2,2022-06-14T03:00:00Z,1.1299
june,0xbce3e29641b2083716e023f0bb56635d3062c8c3,true,2022-06-15T09:28:25.000Z,d3,2022-06-18T20:00:00Z,1.2381
june,0xecded8b1c603cf21299835f1dfbe37f10f2a29af,true,2022-06-13T09:01:07.000Z,d0,2022-06-08T12:00:00Z,1.3024
june,0xecded8b1c603cf21299835f1dfbe37f10f2a29af,true,2022-06-13T09:01:07.000Z,d1,2022-06-13T12:00:00Z,1.1556
june,0xecded8b1c603cf21299835f1dfbe37f10f2a29af,true,2022-06-13T09:01:07.000Z,d2,2022-06-14T03:00:00Z,1.2127
june,0xecded8b1c603cf21299835f1dfbe37f10f2a29af,true,2022-06-13T09:01:07.000Z,d3,2022-06-18T20:00:00Z,1.2061
june,0x4b7d2ca4cd3f8ffed3560db4d3eb54c27c95cd06,true,2022-06-11T08:42:17.000Z,d0,2022-06-08T12:00:00Z,1.0647
june,0x4b7d2ca4cd3f8ffed3560db4d3eb54c27c95cd06,true,2022-06-11T08:42:17.000Z,d1,2022-06-13T12:00:00Z,0.7191
june,0x4b7d2ca4cd3f8ffed3560db4d3eb54c27c95cd06,true,2022-06-11T08:42:17.000Z,d2,2022-06-14T03:00:00Z,0.7461
june,0x4b7d2ca4cd3f8ffed3560db4d3eb54c27c95cd06,true,2022-06-11T08:42:17.000Z,d3,2022-06-18T20:00:00Z,0.7282
june,0x500e33141299cd38ee14f2813e88bb18f081f0f6,true,2022-06-11T15:04:16.000Z,d0,2022-06-08T12:00:00Z,1.0926
june,0x500e33141299cd38ee14f2813e88bb18f081f0f6,true,2022-06-11T15:04:16.000Z,d1,2022-06-13T12:00:00Z,1.0403
june,0x500e33141299cd38ee14f2813e88bb18f081f0f6,true,2022-06-11T15:04:16.000Z,d2,2022-06-14T03:00:00Z,1.0949
