event,owner,liquidated,first_liq,block_label,block_time,health_factor
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h66,,
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h72,,
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h78,,
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h84,,
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h90,,
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h00,,1.2316
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h06,,1.234
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h12,,1.2599
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h18,,1.166
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h24,,1.1824
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h30,,1.1632
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h36,,1.1543
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h42,,1.2457
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h48,,1.2191
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h54,,1.2719
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h60,,1.2389
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h66,,1.2519
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h72,,1.2405
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h78,,1.2641
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h84,,1.2468
aave-aug24,0xf1aadd799fdcb141204f145d0ed871959cb19e35,true,2024-08-05T02:17:59.000Z,h90,,1.194
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h00,,1.1127
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h06,,1.1228
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h12,,1.1232
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h18,,1.1587
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h24,,1.1554
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h30,,1.1173
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h36,,1.1088
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h42,,1.196
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h48,,1.1705
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h54,,1.2111
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h60,,1.1797
