protocol,event,owner,first_liq
moonwell,Aug-2024,0x8c8c65a6252aa22d238340b54a2bf50245ab470a,2024-08-07T23:55:25.000Z
moonwell,Aug-2024,0x0a63ae206150869f59f9b176f558f4411dd65793,2024-08-05T01:16:21.000Z
moonwell,Aug-2024,0x6f667184985b67f332d9ca06d4442e703784ef1c,2024-08-04T23:03:35.000Z
moonwell,Aug-2024,0xb6c5bd2986b9112726b145298ea7dada60149b68,2024-08-04T00:03:17.000Z
moonwell,Aug-2024,0xdb1f47ed9b26d3615c13488e19572818381986ea,2024-08-04T17:41:11.000Z
moonwell,Aug-2024,0x417ac47ab85ff79254a541fd6a9fdff23852a9a4,2024-08-05T01:08:33.000Z
moonwell,Aug-2024,0xcff0850ec49fff65729ba36c8c6e3c4e52775563,2024-08-04T22:09:09.000Z
moonwell,Aug-2024,0xdc44c72d8aedd9d533415cee5c6887f4e6d13205,2024-08-04T01:08:33.000Z
moonwell,Aug-2024,0x646b3ce30f4d28c9f645a9c53102cdfd9f8aff30,2024-08-05T10:16:47.000Z
moonwell,Aug-2024,0x94be5a60f5dd2f1c283cafa48cc87226269df6d0,2024-08-07T23:37:39.000Z
moonwell,Aug-2024,0x7684ef3ec4ffe08973f450e1eb08513dad6ce324,2024-08-05T00:57:55.000Z
moonwell,Aug-2024,0xafde0b203b1bb4a3a6a58cf128c227bba911410c,2024-08-04T15:22:51.000Z
moonwell,Aug-2024,0xa3665d1cb5c08c99a18e04882baa2a0fa3b9e54d,2024-08-05T21:49:55.000Z
moonwell,Aug-2024,0x81fc6fc924998538246bbb43bdea4601eb3fada2,2024-08-04T01:30:31.000Z
moonwell,Aug-2024,0x936e26b3ea664b2d3ab356de9365210b9e4948e5,2024-08-04T21:22:45.000Z
moonwell,Aug-2024,0xa3825a94d32f3808eb31aaa8ba86d61985a712b8,2024-08-04T17:44:41.000Z
moonwell,Aug-2024,0xe4435180f2dab18e339474d1dcd5c60eedef075e,2024-08-05T01:16:29.000Z
moonwell,Aug-2024,0xfd255dd9acbe476071d0a5e1e92edee2191c5a14,2024-08-07T20:01:35.000Z
moonwell,Aug-2024,0x0e7ccf066934d5e166a25fb3e4650be62917ae5a,2024-08-06T22:05:25.000Z
moonwell,Aug-2024,0x910717129d17fe8c7983b4f4526913ef10dc2362,2024-08-04T21:55:01.000Z
moonwell,Aug-2024,0x4a4404d79268c4e25222da1595a91b977249cc01,2024-08-05T00:57:25.000Z
moonwell,Aug-2024,0x4435c8813700cdb7679941352bbd894bfc3906c2,2024-08-05T06:27:45.000Z
moonwell,Aug-2024,0xefa9ca326b249ba716a57488695d56a2d9dd2d46,2024-08-06T21:43:19.000Z
moonwell,Aug-2024,0x6b8f3505a3d1119da626f05c31dd8d39cf15e169,2024-08-04T17:45:05.000Z
moonwell,Aug-2024,0x21172b423ddfecdc31d2476c33ad6e4a15d5776c,2024-08-04T21:37:13.000Z
moonwell,Aug-2024,0x39605c54317d3c517bb2c1fa13d458f2433145c7,2024-08-05T00:14:25.000Z
moonwell,Aug-2024,0x09b4c85cab2a58a60cfba940526133a138a15d30,2024-08-04T17:11:37.000Z
moonwell,Aug-2024,0x69e2b431211c14a605a1282669922a7d1a14d2a7,2024-08-04T21:26:09.000Z
moonwell,Aug-2024,0xc83a954a32cfe75d769a711f5109c7a48aa69b5f,2024-08-07T23:39:27.000Z
moonwell,Aug-2024,0x800d7ac807c1a56db6c74841ac913a8cb39e7167,2024-08-04T21:59:37.000Z
moonwell,Aug-2024,0x604e9ab66d6ced240d766ece1dae96d2a3fdfb1b,2024-08-06T22:16:15.000Z
moonwell,Aug-2024,0x18b67eb332ea410a5f865705907d6058aebd0968,2024-08-04T21:19:45.000Z
moonwell,Aug-2024,0xc46d99f81d55c7c1ed3f1365f90e01252c1dba75,2024-08-04T16:55:47.000Z
moonwell,Aug-2024,0x0e197d41f4abbf00704e3379236f2f4c702f7d92,2024-08-05T23:21:17.000Z
moonwell,Aug-2024,0x5148a385b0d2fd9337116db9edf67324a1a0066a,2024-08-04T00:59:47.000Z
moonwell,Aug-2024,0xf9ba4ee8223a67a2270ae1e3447457d89aa94292,2024-08-07T23:28:59.000Z
moonwell,Aug-2024,0x45754886b3c673ec36f257e1404c880525099600,2024-08-04T17:41:09.000Z
moonwell,Aug-2024,0xee9a50bcdbd67cc8c941bb68767a40ccb6780777,2024-08-06T22:22:21.000Z
moonwell,Aug-2024,0xb6fb68f0ae8d92b415495fde4cfe522504ca2543,2024-08-07T23:36:07.000Z
moonwell,Aug-2024,0x363fa22361fbd4be8b5cce0d9fde1109375b4ac4,2024-08-04T23:23:47.000Z
moonwell,Aug-2024,0xe7b4cc363032892e39bd12bafb51afac1a0f701d,2024-08-04T17:10:41.000Z
moonwell,Aug-2024,0xb07106b2d4a156ffcdd59b990a6667d4ab0d7ae4,2024-08-05T01:16:43.000Z
moonwell,Aug-2024,0x03acbc222cb6ad95b3907495ad44ba8b291d1a2e,2024-08-04T23:02:47.000Z
moonwell,Aug-2024,0xe88930e57ddeefa731c8f73f9e39b42d4a75bf40,2024-08-04T23:23:17.000Z
moonwell,Aug-2024,0xa02a1ab39ef37b7d860d7a791661703023389149,2024-08-05T00:14:55.000Z
moonwell,Aug-2024,0xd836eaf5be0793f5c1e3985b60e656ba8d48f097,2024-08-05T02:18:01.000Z
moonwell,Aug-2024,0x3848ded70d640d5f61e5d1e3a01ed8c049c57d53,2024-08-05T01:25:25.000Z
moonwell,Aug-2024,0xbddd68493ae247423a914c69daff3939650086e6,2024-08-04T21:58:21.000Z
moonwell,Aug-2024,0x3ab60621259acd3d95f514edded0e6165eef946f,2024-08-06T22:57:23.000Z
moonwell,Aug-2024,0xb4c4564684256bb8689d479fce12c438baaca913,2024-08-04T19:58:03.000Z
moonwell,Aug-2024,0x10e33c93a2853d565ecb9dc60b93bf8fe0a8fbee,2024-08-04T23:33:49.000Z
moonwell,Aug-2024,0x41c5aa5bf76c4217ad474c69bc4b6c253bc59596,2024-08-04T23:04:11.000Z
moonwell,Aug-2024,0x7b3dd278515a07c8e73ca259b15721525c4aa0b4,2024-08-05T01:07:05.000Z
moonwell,Aug-2024,0x6f1c28c40b5fed4fb546f85959ae2f7c16365cad,2024-08-05T01:10:51.000Z
moonwell,Aug-2024,0xb684a3548615e6cc76f31a960743a3e9d8b6808a,2024-08-04T21:34:11.000Z
moonwell,Aug-2024,0x6830c5a4f1a1023d5e9bafeb221cebc9eb6f8ed6,2024-08-05T01:24:57.000Z
moonwell,Aug-2024,0xa76dd667f34b29c37e0e16b087cc546b424d1541,2024-08-05T01:18:17.000Z
moonwell,Aug-2024,0x8343be66505ab49bf77eab5d9caded5b6da7141c,2024-08-06T21:39:05.000Z
moonwell,Aug-2024,0x2deb1bfe91135eb885ad12b35822d6b88940cf96,2024-08-04T17:41:11.000Z
moonwell,Aug-2024,0x6b656f54a487bcc756375c8ece3f0de2b5253d32,2024-08-05T06:23:41.000Z
moonwell,Aug-2024,0x4cce7b374ac6095a5125a74e0bfdf0852015745b,2024-08-05T01:25:29.000Z
moonwell,Aug-2024,0x00d32b49e93accc892a3c0d3a8e1a4dcb15a3e16,2024-08-05T10:16:47.000Z
moonwell,Aug-2024,0x3a31d118d3869c77eb75a60b3525bde9ecfccc20,2024-08-04T15:26:35.000Z
moonwell,Aug-2024,0x57bb5ec9b9849b662acfc2645b3127f5c9a16427,2024-08-06T21:59:31.000Z
moonwell,Aug-2024,0x378a2b0953ef28302f54de9d67f34f7cb4ed9475,2024-08-06T03:46:23.000Z
moonwell,Aug-2024,0xe175b0aefa1d079a7fefacaf9e40d5a8d4e2fa4f,2024-08-06T21:55:09.000Z
moonwell,Aug-2024,0xb07512b59dfea63d4a3dad1236439aeb8a8a0ac4,2024-08-04T21:40:25.000Z
moonwell,Aug-2024,0x031e4b751106f6daf8e7d998ac200413683a98dc,2024-08-04T01:03:55.000Z
moonwell,Aug-2024,0x4d120434831632e1ceb70fb6091f2843c276949f,2024-08-07T23:29:41.000Z
moonwell,Aug-2024,0x3b024bebb5335b69b30fc2645652f8e7d4b09e79,2024-08-04T22:00:03.000Z
moonwell,Aug-2024,0x814dd1dda9b7b64a61682838973949086d07b07a,2024-08-05T01:07:55.000Z
moonwell,Aug-2024,0x495aaeefcb448e6bda1c37767d45d7e426bbf147,2024-08-05T05:12:17.000Z
moonwell,Aug-2024,0xaad23bed23954b8d9e954f9437f55f938609a3bf,2024-08-06T00:05:09.000Z
moonwell,Aug-2024,0xea959874c781150ae651f29401c18343ba6010c6,2024-08-06T21:40:55.000Z
moonwell,Aug-2024,0x9dd8dca87a43d0e22a2afcd0e00f68238a727197,2024-08-05T06:23:13.000Z
moonwell,Aug-2024,0x94599741aada66a4687c4a533f4b91c208b5db4b,2024-08-05T01:16:19.000Z
moonwell,Aug-2024,0x7cb432ed91f9d46c49e634268aa5f173b8b63ed1,2024-08-05T00:58:21.000Z
moonwell,Aug-2024,0xf9bb19f7ff06eb71a8f2375aa13185bbcc5570db,2024-08-06T22:05:51.000Z
moonwell,Aug-2024,0x7e5ed75e4668b74dd41adcd7dc04094629495a2a,2024-08-06T21:57:49.000Z
moonwell,Aug-2024,0x60a151d00b592ef23d6fa85e9ff3e7d9698a63e6,2024-08-05T00:55:25.000Z
moonwell,Aug-2024,0xde125aca98d5fb31cad93ce34d277cf6d350f411,2024-08-05T04:12:39.000Z
moonwell,Aug-2024,0xff566ff04c92f508fda0f7a34efca5216d4b58e7,2024-08-04T00:43:39.000Z
moonwell,Aug-2024,0x813146a1b4b0fcc3fdca20bf357945f690f6e99b,2024-08-07T21:52:25.000Z
moonwell,Aug-2024,0xf61488d8c97cbd5ac47eb19034ffca1c543a6f47,2024-08-05T00:39:23.000Z
moonwell,Aug-2024,0xfde4d811cf048e67277520fafd3c6e9c39a24149,2024-08-05T03:58:45.000Z
moonwell,Aug-2024,0x0092d5310a7bd4cf0428c13f40b9d377254fe357,2024-08-06T21:54:35.000Z
moonwell,Aug-2024,0x73ea6bd01354cccef0ec20a1ab87272d1d0c1cbe,2024-08-04T23:04:37.000Z
moonwell,Aug-2024,0x5cb9f46c32034580138411ae3bbf2c68e17cbfaa,2024-08-04T01:15:21.000Z
moonwell,Aug-2024,0x790e3a3510fd6f476c7ad09d1c23f0c09a5654b9,2024-08-06T22:04:29.000Z
moonwell,Aug-2024,0xd345d6a057ac28a3b15f3e20a98454906bf327cd,2024-08-04T23:38:35.000Z
moonwell,Aug-2024,0x9c947ce1200a221332849e8cf3e48af4a2f81630,2024-08-05T23:40:45.000Z
moonwell,Aug-2024,0xbaeeb113dc6fc6a67b5a0bcb8154c6b71081d3b9,2024-08-05T01:06:53.000Z
moonwell,Aug-2024,0x256a1d5b073da8280f812703b80e2eda66ae242c,2024-08-05T00:35:53.000Z
moonwell,Aug-2024,0x7a06ab91db6d295dc9afb6852bef97f174c537fb,2024-08-04T17:10:09.000Z
moonwell,Aug-2024,0x4541e6a4f06038010f4da5f054b613beb94ef5dd,2024-08-05T23:18:49.000Z
moonwell,Aug-2024,0x645bf7d449dc569fc871714cf6b8e2f64704321e,2024-08-04T01:42:29.000Z
moonwell,Aug-2024,0xed778e253e775e923be3a0dd26daf9e1f9289090,2024-08-07T19:55:49.000Z
moonwell,Aug-2024,0xfa98c4a2c79341726a87fab833c7013f14609c20,2024-08-04T15:36:35.000Z
moonwell,Aug-2024,0x1f0818f57f31713fad7cadfc885bf9991986ac0d,2024-08-04T23:30:09.000Z
moonwell,Aug-2024,0xa983bea0c6051e52279f28fc5b8b739325181d25,2024-08-04T21:36:33.000Z
moonwell,Aug-2024,0xbadc2f36b581bd927c69d1c1a855294a03d04dc6,2024-08-05T01:17:51.000Z
moonwell,Aug-2024,0x7f6449383200ca344d49b796c3c9de9628cfa56d,2024-08-04T18:19:25.000Z
moonwell,Aug-2024,0x596209435c43edd617dd4f6dc90204c859e059b7,2024-08-04T23:10:19.000Z
moonwell,Aug-2024,0xdacbd8861d8564d4d1594e0ce6bc0a80d420e560,2024-08-05T01:16:29.000Z
moonwell,Aug-2024,0xa1ba6e5cf64069342dded2d0aa90fd85af6dbbdf,2024-08-05T01:18:13.000Z
moonwell,Aug-2024,0xcea7e3e2ae7c4add9080c5dfe116482a7f84ac4b,2024-08-06T03:42:09.000Z
moonwell,Aug-2024,0x76e8ef64ac0c1834f7e22465414683f1b2e8beeb,2024-08-05T03:47:09.000Z
moonwell,Aug-2024,0xd37238e05379d1b423a302a295cc0de40eacea8b,2024-08-05T01:18:17.000Z
moonwell,Aug-2024,0x415c9112e314a699587c2e79379ada90db805061,2024-08-05T10:16:47.000Z
moonwell,Aug-2024,0xb35ea8e3f31746be51ce8e981ac820251005e5a1,2024-08-04T17:44:47.000Z
moonwell,Aug-2024,0x1e8b844081afa14f4f79530e77426856f5bcdaab,2024-08-04T22:12:29.000Z
moonwell,Aug-2024,0xb47316c1835a3d1db55028989987eba8df9b40ae,2024-08-04T18:33:05.000Z
moonwell,Aug-2024,0x9047d9c1a19964b8e4197fa39fe14ed8d7e35a32,2024-08-05T00:38:53.000Z
